"Number","BaseURl","Number","Date","Length","EndingSlash","ReservedWord","SlashCount"
"1","news/politics/","false","false","14","true","false","2","non-article"
"2","news/topics/russia-investigation","false","false","32","false","false","2","non-article"
"3","news/video/u-appeals-court-rejects-challenges-000146750.html","true","false","60","false","true","2","non-article"
"4","news/topics/skullduggery","false","false","24","false","false","2","non-article"
"5","news/world/","false","false","11","true","false","2","non-article"
"6","news/topics/us-news","false","false","19","false","false","2","non-article"
"7","news/topics/lifestyle","false","false","21","false","false","2","non-article"
"8","news/tagged/photos/","false","false","19","true","true","3","non-article"
"9","news/topics/science","false","false","19","false","false","2","non-article"
"10","news/topics/technology","false","false","22","false","false","2","non-article"
"11","news/former-trump-campaign-chairman-paul-slideshow-wp-154358504.html","true","false","68","false","true","1","non-article"
"12","news/originals/","false","false","15","true","false","2","non-article"
"13","news/video/weinstein-attorney-says-da-withheld-030923697.html","true","false","61","false","true","2","non-article"
"14","news/topics/sports","false","false","18","false","false","2","non-article"
"15","news/topics/president-trump","false","false","27","false","false","2","non-article"
"16","news/topics/entertainment","false","false","25","false","false","2","non-article"
"17","news/video/soldier-secret-unit-dies-parachute-003327164.html","true","false","60","false","true","2","non-article"
"18","tech-media","false","false","10","false","false","0","non-article"
"19","?cid=eref:nbcnews:text","false","false","22","false","false","0","non-article"
"20","nightly-films","false","false","13","false","false","0","non-article"
"21","politics","false","false","8","false","false","0","non-article"
"22","msnbc/the-rachel-maddow-show-podcasts","false","false","37","false","false","1","non-article"
"23","https://cms.megaphone.fm/channel/morningjoe?selected=NBCN1605284769","false","false","67","false","false","4","non-article"
"24","now","false","false","3","false","false","0","non-article"
"25","us-news","false","false","7","false","false","0","non-article"
"26","world","false","false","5","false","false","0","non-article"
"27","meet-the-press-full-episodes","false","false","28","false","true","0","non-article"
"28","nightly-news","false","false","12","false","false","0","non-article"
"29","news/week-in-pictures","false","false","21","false","false","1","non-article"
"30","schedule","false","false","8","false","false","0","non-article"
"31","mtp-daily/","false","false","10","true","false","1","non-article"
"32","morning-joe/episodes#!#full-episodes","false","false","36","false","true","1","non-article"
"33","category/health/cancer.html","false","false","27","false","false","2","non-article"
"34","category/tech/topics/computers","false","false","30","false","false","3","non-article"
"35","category/tech/topics/military-tech.html","false","false","39","false","false","3","non-article"
"36","travel.html","false","false","11","false","false","0","non-article"
"37","category/real-estate.html","false","false","25","false","false","1","non-article"
"38","tech.html","false","false","9","false","false","0","non-article"
"39","category/science/natural-science.html","false","false","37","false","false","2","non-article"
"40","category/science/archaeology/dinosaurs.html","false","false","43","false","false","3","non-article"
"41","category/politics/elections.html","false","false","32","false","false","2","non-article"
"42","category/politics/foreign-policy.html","false","false","37","false","false","2","non-article"
"43","person/personalities.html","false","false","25","false","false","1","non-article"
"44","shows","false","false","5","false","false","0","non-article"
"45","science.html","false","false","12","false","false","0","non-article"
"46","category/health/mental-health.html","false","false","34","false","false","2","non-article"
"47","auto.html","false","false","9","false","false","0","non-article"
"48","category/tech/topics/video-games.html","false","false","37","false","true","3","non-article"
"49","en/freiburg-and-the-black-forest-in-360-degrees/a-46464628","true","false","58","false","false","2","non-article"
"50","en/tv/s-1452","false","false","12","false","false","2","non-article"
"51","en/the-minnesota-twins-max-kepler/av-48884450","true","false","45","false","false","2","non-article"
"52","en/media-center/s-100824","true","false","24","false","false","2","non-article"
"53","en/radio/s-32771","true","false","16","false","false","2","non-article"
"54","en/media-center/podcasts/s-100977","true","false","33","false","false","3","non-article"
"55","en/emotional-tributes-to-niki-lauda-at-monaco-grand-prix/g-48852366","true","false","67","false","false","2","non-article"
"56","en/media-center/live-tv/s-100825","true","false","32","false","false","3","non-article"
"57","en/greenland-in-360-degrees/a-46465372","true","false","38","false","false","2","non-article"
"58","en/learn-german/s-2469","false","false","22","false","false","2","non-article"
"59","en/eisenach-and-wartburg-castle-in-360-degrees/a-46465499","true","false","57","false","false","2","non-article"
"60","en/hamburg-in-360-degrees/a-46465215","true","false","36","false","false","2","non-article"
